,Player,Comb,Asst,Solo,Sck
15,Malik Jackson,25,18,6,0.5
16,Kevon Seymour,25,8,15,1.0
17,Andrew Adams,24,8,15,0.0
18,Trey Flowers,24,9,12,1.5
19,Sam Franklin,24,5,13,0.0
20,Jaylinn Hawkins,24,11,12,0.0
21,Christian Jones,24,11,10,0.0
22,Devon Kennard,24,9,12,0.0
23,Corey Peters,24,14,8,0.0
24,Montez Sweat,24,11,12,5.0
0,Khyiris Tonga,24,14,10,0.0
1,Shaun Bradley,23,8,14,0.0
2,Artie Burns,23,4,17,0.0
3,Juston Burris,23,6,16,0.0
4,T.J. Carrie,23,2,18,0.0
5,DeShon Elliott,23,4,18,1.0
6,Dennis Gardeck,23,9,14,0.0
7,Jaleel Johnson,23,12,9,0.0
8,Kingsley Keke,23,13,7,2.5
9,Shaq Lawson,23,8,11,1.0
10,Isaiahh Loudermilk,23,7,12,1.0
11,Jake Martin,23,12,7,4.0
12,Blake Martinez,23,12,11,0.0
13,Siran Neal,23,7,14,0.0
14,Alex Okafor,23,16,7,1.5
15,Bradley Roby,23,4,19,1.0
16,Tedarrell Slaton,23,9,12,1.0
17,Ambry Thomas,23,6,16,0.0
18,Garret Wallow,23,8,12,1.0
19,Stephen Weatherly,23,9,13,2.5
20,Shawn Williams,23,10,10,0.0
21,Ross Blacklock,22,8,10,2.0
22,Jon Bostic,22,10,11,0.0
23,Frank Clark,22,7,13,4.5
24,Eddie Goldman,22,8,11,0.5
0,J.T. Gray,22,4,17,0.0
1,Justin Hollins,22,8,10,2.0
2,Arden Key,22,11,10,6.5
3,Terrell Lewis,22,7,13,3.0
4,C.J. Moore,22,9,11,0.0
5,Anthony Nelson,22,9,12,5.0
6,Nick Niemann,22,7,14,0.0
7,Jordan Phillips,22,8,12,3.0
8,Alton Robinson,22,9,6,1.0
9,Avery Williams,22,11,8,0.0
10,Ola Adeniyi,21,7,11,2.5
11,Terrence Brooks,21,6,12,0.0
12,Jonathan Bullard,21,13,7,0.0
13,Bradley Chubb,21,12,9,0.0
14,Marlon Davidson,21,9,11,1.0
15,Sheldon Day,21,14,6,1.0
16,A.J. Green,21,6,13,0.0
17,Dre Greenlaw,21,11,9,0.0
18,Travin Howard,21,6,12,0.0
19,Danny Johnson,21,6,15,0.0
20,Nick Kwiatkoski,21,8,12,0.0
21,Demarcus Lawrence,21,5,14,3.0
22,Jason McCourty,21,11,10,0.0
23,Carl Nassib,21,5,13,1.5
24,Mike Pennel,21,12,9,0.0
0,Tremon Smith,21,5,14,0.0
1,Geno Stone,21,6,14,0.0
2,Joejuan Williams,21,6,14,0.0
3,Troy Dye,20,8,10,0.0
4,Marquis Haynes,20,11,8,3.0
5,Jordan Jenkins,20,11,8,2.5
6,Jonathan Jones,20,5,15,0.0
7,Trayvon Mullen,20,3,16,0.0
8,Michael Pierce,20,8,11,3.0
9,Hassan Ridgeway,20,10,8,2.0
10,Carl Davis,19,7,5,1.0
11,Leki Fotu,19,11,6,0.0
12,Jonathan Garvin,19,4,14,1.5
13,Randy Gregory,19,4,15,6.0
14,Micah Kiser,19,10,7,0.0
15,Khalil Mack,19,4,15,6.0
16,Trey Marshall,19,13,5,0.0
17,Tyler Matakevich,19,7,10,0.0
18,Amik Robertson,19,5,11,0.0
19,Chris Rumph II,19,11,6,1.0
20,Anthony Rush,19,9,9,0.0
21,Brennan Scarlett,19,13,3,0.0
22,Danny Trevathan,19,11,6,0.0
23,Armani Watts,19,8,10,0.0
24,Boogie Basham,18,7,7,2.5
0,Taco Charlton,18,11,7,0.5
1,Justin Ellis,18,11,7,0.0
2,Jerry Hughes,18,10,7,2.0
3,Tarron Jackson,18,7,11,1.0
4,Tony Jefferson,18,9,8,1.0
5,Tanoh Kpassagnon,18,4,13,4.0
6,Takk McKinley,18,8,9,2.5
7,Jonathan Owens,18,8,9,0.0
8,Anthony Pittman,18,9,7,0.0
9,Bobby Price,18,6,11,0.0
10,Chapelle Russell,18,8,9,0.0
11,Jimmy Smith,18,3,14,0.0
12,Roderic Teamer,18,5,9,0.0
13,Michael Thomas,18,9,7,0.0
14,Derrek Tuszka,18,9,8,2.0
15,Kenny Willekes,18,7,9,2.5
16,Jarren Williams,18,4,13,0.0
17,Isaiah Buggs,17,12,4,0.0
18,Adam Butler,17,8,7,2.0
19,Dee Delaney,17,4,13,0.0
20,Ashton Dulin,17,5,11,0.0
21,Bud Dupree,17,4,10,3.0
22,Kaden Elliss,17,8,8,1.0
23,Kyler Fackrell,17,6,10,3.0
24,Kevin Givens,17,10,6,0.0
0,Tre Herndon,17,5,10,0.0
1,Patrick Johnson,17,6,9,0.0
2,Deommodore Lenoir,17,5,11,0.0
3,Star Lotulelei,17,6,10,3.0
4,Whitney Mercilus,17,8,8,4.0
5,Rakeem Nunez-Roches,17,12,5,0.0
6,Charles Omenihu,17,3,13,0.0
7,Jacob Phillips,17,4,6,1.0
8,Kenny Robinson,17,5,10,0.0
9,Isaac Rochell,17,7,8,0.0
10,Buster Skrine,17,6,10,0.0
11,Desmond Trufant,17,3,14,0.0
12,Chris Westry,17,0,16,0.0
13,Deandre Baker,16,3,13,0.0
14,Adrian Colbert,16,6,9,0.0
15,Dylan Cole,16,6,8,0.0
16,Sam Eguavoen,16,7,7,0.5
17,Matthias Farley,16,4,9,0.0
18,Stephon Gilmore,16,1,12,0.0
19,Albert Huggins,16,13,3,0.0
20,Joe Jackson,16,7,5,1.5
21,John Jenkins,16,6,7,0.0
22,Josh Jones,16,6,6,0.0
23,Kelvin Joseph,16,3,13,0.0
24,Justin Layne,16,4,12,0.0
0,Zech McPhearson,16,9,7,0.0
1,Rashaan Melvin,16,4,12,0.0
2,Henry Mondeaux,16,10,6,2.0
3,Jason Pinnock,16,6,10,0.0
4,Taylor Stallworth,16,5,10,3.0
5,Teair Tart,16,6,8,0.0
6,Tommy Togiai,16,7,7,0.5
7,Broderick Washington,16,8,6,1.0
8,J.J. Watt,16,6,6,1.0
9,Jarrod Wilson,16,5,8,1.0
10,Montravius Adams,15,8,7,0.0
11,Jahleel Addae,15,5,9,0.0
12,Ricardo Allen,15,4,8,0.0
13,Nick Bellore,15,6,9,0.0
14,Taven Bryan,15,5,9,2.0
15,Andre Chachere,15,2,12,0.0
16,Xavier Crawford,15,4,10,0.0
17,Cody Davis,15,6,6,0.0
18,Tyrel Dodson,15,5,7,0.0
